,season,passer_id,passer,pass,complete_pass,interception,sack,yards_gained,touchdown
266,2001,00-0010007,K.Lockett,1,1.0,0.0,0.0,31.0,1.0
267,2001,00-0010137,R.Lucas,5,2.0,0.0,0.0,55.0,0.0
268,2001,00-0010206,M.Lytle,37,17.0,3.0,3.0,117.0,2.0
269,2001,00-0010261,T.Maddox,11,7.0,1.0,1.0,150.0,1.0
270,2001,00-0010346,P.Manning,613,343.0,23.0,29.0,3954.0,33.0
271,2001,00-0010442,C.Martin,1,1.0,0.0,0.0,18.0,1.0
272,2001,00-0010455,J.Martin,5,3.0,0.0,2.0,15.0,0.0
273,2001,00-0010560,S.Matthews,161,92.0,8.0,7.0,703.0,7.0
274,2001,00-0010609,B.Maynard,1,1.0,0.0,0.0,27.0,1.0
275,2001,00-0011022,D.McNabb,693,345.0,15.0,47.0,3888.0,34.0
276,2001,00-0011024,S.McNair,517,264.0,12.0,37.0,3312.0,23.0
277,2001,00-0011151,E.Metcalf,1,0.0,0.0,1.0,-2.0,0.0
278,2001,00-0011276,J.Miller,438,231.0,11.0,12.0,2243.0,13.0
279,2001,00-0011434,S.Mitchell,14,4.0,3.0,2.0,23.0,0.0
280,2001,00-0011463,C.Mohr,2,2.0,0.0,0.0,40.0,0.0
281,2001,00-0011626,B.Moorman,1,0.0,0.0,0.0,0.0,0.0
282,2001,00-0011754,R.Moss,1,1.0,0.0,0.0,29.0,0.0
283,2001,00-0012261,N.O'Donnell,85,42.0,2.0,6.0,438.0,3.0
284,2001,00-0012642,D.Patten,2,1.0,1.0,0.0,60.0,1.0
285,2001,00-0013042,J.Plummer,591,304.0,14.0,29.0,3577.0,19.0
286,2001,00-0013268,R.Proehl,1,0.0,0.0,0.0,0.0,0.0
287,2001,00-0013338,J.Quinn,78,32.0,1.0,6.0,362.0,2.0
288,2001,00-0013682,K.Richardson,1,1.0,0.0,0.0,-11.0,0.0
289,2001,00-0013728,J.Riemersma,1,0.0,0.0,0.0,0.0,0.0
290,2001,00-0014115,M.Royals,1,1.0,0.0,0.0,5.0,0.0
291,2001,00-0014234,M.Rypien,10,5.0,0.0,1.0,51.0,0.0
292,2001,00-0014328,F.Sanders,1,0.0,0.0,0.0,0.0,0.0
293,2001,00-0015082,A.Smith,10,5.0,0.0,1.0,40.0,0.0
294,2001,00-0015700,K.Stewart,598,302.0,15.0,34.0,3531.0,15.0
295,2001,00-0016193,V.Testaverde,530,286.0,14.0,19.0,2915.0,20.0
296,2001,00-0016683,T.Tupa,1,1.0,0.0,0.0,9.0,0.0
297,2001,00-0016838,A.Van Pelt,344,178.0,11.0,14.0,2006.0,13.0
298,2001,00-0017127,K.Walter,1,0.0,0.0,0.0,0.0,0.0
299,2001,00-0017162,H.Ward,2,0.0,0.0,1.0,-3.0,0.0
300,2001,00-0017200,K.Warner,737,443.0,25.0,44.0,5407.0,42.0
301,2001,00-0017218,L.Warren,2,0.0,1.0,0.0,0.0,0.0
302,2001,00-0018272,A.Wright,117,48.0,5.0,5.0,536.0,5.0
303,2001,00-0018343,F.Wycheck,1,1.0,0.0,0.0,21.0,0.0
304,2001,00-0019019,M.Knorr,1,0.0,0.0,0.0,0.0,0.0
305,2001,00-0019041,B.Volek,3,0.0,0.0,0.0,0.0,0.0
306,2001,00-0019087,D.Johnson,8,3.0,0.0,2.0,10.0,1.0
307,2001,00-0019192,T.Brown,36,15.0,2.0,1.0,209.0,2.0
308,2001,00-0019442,C.Stoerner,60,26.0,5.0,5.0,305.0,3.0
309,2001,00-0019553,S.Wynn,115,48.0,6.0,10.0,381.0,3.0
310,2001,00-0019559,C.Pennington,24,10.0,0.0,1.0,95.0,1.0
311,2001,00-0019576,M.Green,2,0.0,2.0,0.0,0.0,0.0
312,2001,00-0019596,T.Brady,588,324.0,13.0,46.0,3222.0,22.0
313,2001,00-0019623,T.Rattay,2,2.0,0.0,0.0,21.0,0.0
314,2001,00-0019682,J.Jackson,14,7.0,0.0,1.0,67.0,0.0
315,2001,00-0020245,M.Vick,148,50.0,3.0,21.0,851.0,3.0
316,2001,00-0020305,A.Feeley,14,10.0,1.0,0.0,143.0,2.0
317,2001,00-0020308,M.McMahon,159,53.0,1.0,21.0,632.0,4.0
318,2001,00-0020404,Q.Carter,201,90.0,7.0,12.0,1066.0,7.0
319,2001,00-0020405,M.Tuiasosopo,4,3.0,0.0,0.0,34.0,0.0
320,2001,00-0020434,C.Weinke,620,293.0,19.0,26.0,2867.0,17.0
321,2001,00-0020462,L.Jordan,1,0.0,0.0,0.0,0.0,0.0
322,2001,00-0020497,F.Mitchell,1,0.0,0.0,0.0,0.0,0.0
323,2001,00-0020527,D.McAllister,2,1.0,0.0,0.0,12.0,1.0
324,2001,00-0020531,D.Brees,32,15.0,0.0,2.0,214.0,1.0
325,2002,00-0000210,J.Allen,2,1.0,0.0,0.0,5.0,1.0
326,2002,00-0000339,R.Anderson,1,0.0,0.0,0.0,0.0,0.0
327,2002,00-0001218,S.Beuerlein,147,68.0,5.0,12.0,856.0,7.0
328,2002,00-0001335,J.Blake,355,165.0,11.0,30.0,1963.0,14.0
329,2002,00-0001361,D.Bledsoe,711,375.0,15.0,54.0,4021.0,25.0
330,2002,00-0001477,M.Booker,5,1.0,0.0,0.0,44.0,1.0
331,2002,00-0001545,T.Bouman,9,3.0,0.0,2.0,72.0,0.0
332,2002,00-0001823,A.Brooks,629,283.0,15.0,36.0,3551.0,30.0
333,2002,00-0002110,M.Brunell,496,245.0,7.0,34.0,2716.0,19.0
334,2002,00-0002876,C.Chandler,197,103.0,4.0,23.0,891.0,4.0
335,2002,00-0002962,W.Chrebet,1,0.0,0.0,0.0,0.0,0.0
336,2002,00-0003292,K.Collins,669,364.0,15.0,26.0,4249.0,24.0
337,2002,00-0003315,T.Collins,6,5.0,0.0,0.0,73.0,1.0
338,2002,00-0003535,T.Couch,514,273.0,18.0,30.0,2667.0,19.0
339,2002,00-0003557,S.Covington,7,2.0,0.0,2.0,-9.0,0.0
340,2002,00-0003739,D.Culpepper,690,333.0,23.0,47.0,4019.0,23.0
341,2002,00-0004161,J.Delhomme,13,8.0,0.0,0.0,119.0,0.0
342,2002,00-0004229,K.Detmer,29,19.0,0.0,1.0,216.0,2.0
343,2002,00-0004293,T.Dilfer,190,94.0,6.0,7.0,1171.0,4.0
